name,link,date,tags,author
"Генсек НАТО щодо заяв путіна про перемовини: Ми не бачимо ознак, що росія планує закінчити війну",https://hromadske.ua/viyna/224889-hensek-nato-shchodo-zaiav-putina-pro-peremovyny-my-ne-bachymo-oznak-shcho-rosiia-planuye-zakinchyty-viynu,2024-05-28 20:00:00+03:00,"['НАТО', 'володимир путін', 'переговори', 'мирні переговори', 'Єнс Столтенберг', 'російсько-українська війна', 'формула миру']",Ярослав Герасименко
Кількість поранених від атаки на Богуславку на Харківщині зросла до 5: серед постраждалих — діти,https://hromadske.ua/viyna/224745-rosiiany-vdaryly-aviabomboiu-po-kharkivshchyni-vbyly-zinku-ta-poranyly-5-liudey,2024-05-26 19:41:00+03:00,"['обстріл', 'Харківська область', 'російсько-українська війна', 'Ізюм']",Роман Мельник
Швеція дозволила використовувати свою зброю для ударів по рф,https://hromadske.ua/viyna/224743-shvetsiia-dozvolyla-vykorystovuvaty-svoiu-zbroiu-dlia-udariv-po-rf,2024-05-26 19:24:00+03:00,"['рф', 'Швеція', 'російсько-українська війна']",Роман Мельник
"В «Укренерго» розповіли, коли не буде світла 27 травня",https://hromadske.ua/suspilstvo/224742-v-ukrenerho-onovyly-hrafik-vidkliuchen-elektryky-koly-ne-bude-svitla,2024-05-26 19:19:00+03:00,"['Укренерго', 'відключення електрики']",Дар'я Головко
"Грузія хоче повернути окуповані росією Абхазію та Південну Осетію, а також вступити в ЄС до 2030 року",https://hromadske.ua/svit/224741-hruziia-khoche-povernuty-okupovani-rosiyeiu-abkhaziiu-ta-osetiiu-a-takoz-vstupyty-do-yes-do-2030-roku,2024-05-26 18:53:00+03:00,"['ЄС', 'Абхазія', 'Грузія', 'південна осетія']",Роман Мельник
У Києві встановлять шість міні-ТЕЦ. Де вони будуть розташовані?,https://hromadske.ua/suspilstvo/224739-u-kyyevi-vstanovliat-shist-mini-tets-de-vony-budut-roztashovani,2024-05-26 18:42:00+03:00,"['Київ', 'світло', 'електроенергія', 'відключення електрики', 'критична інфраструктура']",Дар'я Головко
Шольц виступив проти використання німецької зброї для ударів по росії,https://hromadske.ua/svit/224740-sholts-vystupyv-proty-vykorystannia-nimetskoyi-zbroyi-dlia-udariv-po-rosiyi,2024-05-26 18:09:00+03:00,"['рф', 'Німеччина', 'російсько-українська війна']",Роман Мельник
російська армія скинула на територію України майже 10 тисяч КАБів із початку року — Умєров,https://hromadske.ua/viyna/224738-rosiyska-armiia-skynula-na-terytoriiu-ukrayiny-mayze-10-tysiach-kabiv-z-pochatku-roku-umyerov,2024-05-26 17:50:00+03:00,"['Харків', 'авіабомби', 'російсько-українська війна', 'Рустем Умєров']",Роман Мельник
На Балеарських островах тисячі місцевих протестують проти масового туризму,https://hromadske.ua/svit/224737-na-balearskykh-ostrovakh-tysiachi-mistsevykh-protestuiut-proty-masovoho-turyzmu,2024-05-26 17:28:00+03:00,"['протест', 'туризм', 'Іспанія', 'острів']",Дар'я Головко
Кількість загиблих від удару по «Епіцентру» в Харкові зросла до 16 (ОНОВЛЕНО),https://hromadske.ua/viyna/224736-kilkist-zahyblykh-vid-udaru-po-epitsentru-v-kharkovi-zrosla-do-15,2024-05-26 15:58:00+03:00,"['обстріли', 'Харківська область', 'Харків', 'російсько-українська війна', 'Харківщина']",Дар'я Головко
